L,fraction,M,even_rel_err,odd_rel_err,ratio_odd_over_even
4096,0.001,2,9.993898e-01,9.996338e-01,1.000
4096,0.002,4,9.981746e-01,9.989023e-01,1.001
4096,0.005,10,9.945595e-01,9.967126e-01,1.002
4096,0.01,20,9.886281e-01,9.930791e-01,1.005
4096,0.02,40,9.770770e-01,9.858665e-01,1.009
16384,0.001,8,9.989340e-01,9.993595e-01,1.000
16384,0.002,16,9.977207e-01,9.986282e-01,1.001
16384,0.005,40,9.941111e-01,9.964395e-01,1.002
16384,0.01,81,9.880415e-01,9.927169e-01,1.005
16384,0.02,163,9.762264e-01,9.853284e-01,1.009
65536,0.001,32,9.988200e-01,9.992909e-01,1.000
65536,0.002,65,9.975694e-01,9.985369e-01,1.001
65536,0.005,163,9.938870e-01,9.963030e-01,1.002
65536,0.01,327,9.878216e-01,9.925811e-01,1.005
65536,0.02,655,9.760140e-01,9.851939e-01,1.009
262144,0.001,131,9.987631e-01,9.992566e-01,1.000
262144,0.002,262,9.975222e-01,9.985084e-01,1.001
262144,0.005,655,9.938310e-01,9.962689e-01,1.002
262144,0.01,1310,9.877758e-01,9.925528e-01,1.005
262144,0.02,2621,9.759786e-01,9.851715e-01,1.009
524288,0.001,262,9.987583e-01,9.992537e-01,1.000
524288,0.002,524,9.975175e-01,9.985055e-01,1.001
524288,0.005,1310,9.938263e-01,9.962660e-01,1.002
524288,0.01,2621,9.877666e-01,9.925471e-01,1.005
524288,0.02,5242,9.759741e-01,9.851687e-01,1.009
